item_id,week,profit
21,1,8197.9560546875
21,5,7260.138671875
21,27,9811.2255859375
21,42,12193.314453125
32,1,5925.00439453125
32,20,6813.0517578125
32,21,6813.0517578125
32,25,8449.9072265625
32,29,7782.8642578125
32,30,8793.818359375
32,41,10420.935546875
38,1,4180.69775390625
38,2,2897.46337890625
38,30,7049.51171875
38,33,7129.123046875
38,37,7129.123046875
38,51,8154.525390625
41,1,8711.10546875
41,10,8704.703125
41,21,9894.9189453125
30,2,2853.6865234375
30,8,5043.16162109375
30,18,5721.27783203125
30,51,7844.0263671875
9,3,4030.6474609375
9,5,5158.9541015625
9,26,7307.1787109375
9,39,8874.8828125
9,48,14411.505859375
20,3,5357.29150390625
20,9,7273.0068359375
20,23,9673.353515625
20,42,11418.7685546875
33,3,3858.880859375
33,8,6831.240234375
33,13,6146.73291015625
33,18,7509.35546875
33,33,8873.4296875
33,51,9898.83203125
19,4,6573.1103515625
19,6,8105.2529296875
19,7,8105.2529296875
19,30,11000.50390625
19,46,11493.658203125
19,47,13139.3935546875
23,4,3527.2470703125
23,11,4717.86328125
23,25,6982.4443359375
23,26,6315.400390625
23,32,7405.966796875
23,45,7717.939453125
26,4,2540.642578125
26,6,4216.7841796875
26,25,5995.84423828125
26,31,6419.36328125
26,45,6731.3359375
36,4,2983.6787109375
36,21,5068.74853515625
36,27,6038.55712890625
36,39,7129.123046875
36,51,8154.525390625
2,7,4827.4296875
2,25,5850.392578125
2,26,5183.35009765625
2,43,7035.771484375
2,48,11618.6787109375
3,7,9252.71875
3,24,10755.818359375
3,27,9608.6396484375
45,8,5216.66455078125
45,11,4304.0205078125
45,20,5198.47412109375
45,34,7258.849609375
45,42,8604.4140625
46,8,5216.66455078125
46,12,4532.15185546875
46,18,5894.77880859375
46,48,11943.3203125
29,10,4130.51806640625
29,16,5958.13134765625
29,17,5721.27783203125
29,26,5728.06201171875
29,28,5728.06201171875
29,35,6818.6240234375
29,38,6818.6240234375
24,11,4717.86328125
24,38,7405.966796875
24,43,8332.6748046875
24,49,10250.9970703125
1,12,7277.119140625
1,35,9757.115234375
1,44,10133.1865234375
27,12,7434.4423828125
27,26,8803.8525390625
27,41,11441.9248046875
43,12,9228.5966796875
43,18,10591.2216796875
43,20,9894.9189453125
43,31,11955.2958984375
43,34,12174.9951171875
43,51,12681.4697265625
6,13,9672.9609375
6,33,13315.833984375
7,15,12101.7158203125
7,24,13535.92578125
7,43,16677.34375
5,16,10243.3134765625
5,28,9407.1142578125
5,32,12762.955078125
11,16,8591.9775390625
